Country;Job Title;Age group;Quantity;Percentage
Germany;Unemployed;40_65;230;16.2%
Germany;Unemployed;14_25;219;15.42%
Germany;Unemployed;26_39;160;11.27%
Germany;Database Engineer;40_65;11;0.77%
Germany;Data Officer;40_65;9;0.63%
Germany;Data Storage Specialist;40_65;9;0.63%
Germany;Oracle Database Administrator (Oracle DBA);40_65;9;0.63%
Germany;Database Administration Manager;26_39;9;0.63%
Germany;Geographic Information Systems Data Specialist (GIS Data Specialist);40_65;8;0.56%
Germany;Database Management System Specialist (DBMS Specialist);40_65;8;0.56%
Germany;Data Warehouse Architect;40_65;8;0.56%
Germany;Database Administration Associate;40_65;8;0.56%
Germany;Data Architect;40_65;8;0.56%
Germany;Database Modeler;40_65;7;0.49%
Germany;Data Processing Systems Project Planner;40_65;7;0.49%
Germany;Data Coordinator;40_65;7;0.49%
Germany;Data Modeling Specialist;40_65;7;0.49%
Germany;Data Warehouse Analyst;40_65;7;0.49%
Germany;Oracle Database Administrator (Oracle DBA);26_39;7;0.49%
Germany;Data Warehouse Developer;40_65;7;0.49%
Germany;Electronic Data Interchange System Developer (EDI System Developer);40_65;7;0.49%
Germany;Database Consultant;40_65;7;0.49%
Germany;Geographic Information Systems Data Manager (GIS Data Manager);40_65;7;0.49%
Germany;Data Storage Specialist;26_39;6;0.42%
Germany;Data Communications Analyst;40_65;6;0.42%
Germany;Automatic Data Processing Planner (ADP Planner);40_65;6;0.42%
Germany;Data Administrator;40_65;6;0.42%
Germany;Data Administrator;26_39;6;0.42%
Germany;Computer or Data Processing Systems Consultant;40_65;6;0.42%
Germany;Automatic Data Processing Planner;26_39;6;0.42%
Germany;Database Development and Administration Project Manager;40_65;6;0.42%
Germany;Data Systems Manager;26_39;6;0.42%
Germany;Database Development and Administration Project Manager;26_39;6;0.42%
Germany;Engineer, System Electronic Data Processing (Engineer, System EDP);40_65;6;0.42%
Germany;Geographic Information Systems Data Administrator (GIS Data Administrator);40_65;6;0.42%
Germany;Head of Information Systems and Data Processing;40_65;6;0.42%
Germany;Data Warehouse Specialist;26_39;6;0.42%
Germany;Director of Data Operations;40_65;5;0.35%
Germany;Geographic Information Systems Database Administrator (GIS Database Administrator);40_65;5;0.35%
Germany;Data Processing Consultant;26_39;5;0.35%
Germany;Internet Database Specialist;40_65;5;0.35%
Germany;Geographic Information Systems Database Administrator (GIS Database Administrator);26_39;5;0.35%
Germany;Automatic Data Processing Planner (ADP Planner);26_39;5;0.35%
Germany;Electronic Data Processing Auditor (EDP Auditor);26_39;5;0.35%
Germany;Database Tester;40_65;5;0.35%
Germany;Databases Software Consultant;40_65;5;0.35%
Germany;Databases Computer Consultant;26_39;5;0.35%
Germany;Database Specialist;40_65;5;0.35%
Germany;Database Security Expert;40_65;5;0.35%
Germany;Database Management System Specialist (DBMS Specialist);26_39;5;0.35%
Germany;Database Manager;26_39;5;0.35%
Germany;Database Marketing Analyst;40_65;5;0.35%
Germany;Data Communications Analyst;26_39;5;0.35%
