Country;Job Title;Age group;Quantity;Percentage
France;Unemployed;40_65;652;52.24%
France;Unemployed;26_39;330;26.44%
France;Unemployed;14_25;253;20.27%
France;Electronic Data Interchange System Developer (EDI System Developer);40_65;6;0.48%
France;Electronic Data Interchange System Developer (EDI System Developer);26_39;2;0.16%
France;Electronic Data Interchange System Developer (EDI System Developer);14_25;1;0.08%
France;Data Input Clerk;40_65;1;0.08%
France;Data Transcriber;14_25;1;0.08%
France;Data Transcriber;26_39;1;0.08%
France;Data Transcriber;40_65;1;0.08%
