Country;Job Title;New age group;Quantity;Percentage
Italy;Unemployed;26-35;105;9.23%
Italy;Unemployed;36-45;87;7.64%
Italy;Unemployed;19-25;81;7.12%
Italy;Unemployed;46-55;80;7.03%
Italy;Unemployed;14-18;60;5.27%
Italy;Unemployed;56-65;33;2.9%
Italy;Data Warehouse Architect;36-45;8;0.7%
Italy;Database Security Administrator;36-45;7;0.62%
Italy;Data Warehousing Specialist;36-45;7;0.62%
Italy;Database Security Expert;36-45;7;0.62%
Italy;Data Modeling Specialist;36-45;7;0.62%
Italy;Director of Data Operations;36-45;6;0.53%
Italy;Database Software Technician;36-45;6;0.53%
Italy;Automatic Data Processing Customer Liaison (ADP Customer Liaison);36-45;6;0.53%
Italy;Automatic Data Processing Systems Security Specialist (ADP Systems Security);36-45;6;0.53%
Italy;Database Administration Manager;36-45;6;0.53%
Italy;Data Processing Auditor;36-45;6;0.53%
Italy;Database Development and Administration Project Manager;36-45;5;0.44%
Italy;Database Architect;26-35;5;0.44%
Italy;Data Scientist;26-35;5;0.44%
Italy;Data Processing Systems Analyst;26-35;5;0.44%
Italy;Data Processing Systems Project Planner;36-45;5;0.44%
Italy;Data Storage Specialist;36-45;5;0.44%
Italy;Data Officer;36-45;5;0.44%
Italy;Database Architect;36-45;5;0.44%
Italy;Internet Database Specialist;36-45;5;0.44%
Italy;SQL Database Administrator;36-45;5;0.44%
Italy;Database Designer;36-45;5;0.44%
Italy;Data Warehousing Manager;26-35;5;0.44%
Italy;Engineer, System Electronic Data Processing (Engineer, System EDP);46-55;5;0.44%
Italy;Data Administrator;36-45;5;0.44%
Italy;Data Miner;36-45;5;0.44%
Italy;Data Management Information Technology Specialist;36-45;5;0.44%
Italy;Automatic Data Processing Planner (ADP Planner);36-45;5;0.44%
Italy;Data Miner;26-35;5;0.44%
Italy;Data Architect;36-45;5;0.44%
Italy;Data Communications Analyst;36-45;5;0.44%
Italy;Data Scientist;36-45;5;0.44%
Italy;Data Officer;26-35;5;0.44%
Italy;Database Consultant;36-45;5;0.44%
