Country;Job Title;New age group;Quantity;Percentage
Netherlands;Unemployed;46-55;38;11.48%
Netherlands;Unemployed;36-45;37;11.18%
Netherlands;Unemployed;19-25;30;9.06%
Netherlands;Unemployed;26-35;25;7.55%
Netherlands;Unemployed;14-18;22;6.65%
Netherlands;Unemployed;56-65;15;4.53%
Netherlands;Data Warehousing Engineer;36-45;3;0.91%
Netherlands;Engineer, System Electronic Data Processing (Engineer, System EDP);46-55;3;0.91%
Netherlands;Data Processing Systems Analyst;36-45;3;0.91%
Netherlands;Database Marketing Analyst;36-45;3;0.91%
Netherlands;Data Warehouse Analyst;36-45;2;0.6%
Netherlands;Data Warehousing Manager;36-45;2;0.6%
Netherlands;Automatic Data Processing Customer Liaison (ADP Customer Liaison);36-45;2;0.6%
Netherlands;Automatic Data Processing Planner;46-55;2;0.6%
Netherlands;Automatic Data Processing Systems Security Specialist (ADP Systems Security);46-55;2;0.6%
Netherlands;Data Security Analyst;36-45;2;0.6%
Netherlands;Data Management Associate;36-45;2;0.6%
Netherlands;Data Processing Equipment Repairer;46-55;2;0.6%
Netherlands;Data Processing Systems Analyst;46-55;2;0.6%
Netherlands;Internet Database Specialist;36-45;2;0.6%
Netherlands;Database Administration Associate;46-55;2;0.6%
Netherlands;Data Processing Consultant;46-55;2;0.6%
Netherlands;Geographic Information Systems Database Administrator (GIS Database Administrator);46-55;2;0.6%
Netherlands;Electronic Data Processing Auditor (EDP Auditor);19-25;2;0.6%
Netherlands;Director of Data Operations;26-35;2;0.6%
Netherlands;Database Software Technician;26-35;2;0.6%
Netherlands;Database Security Expert;46-55;2;0.6%
Netherlands;Database Marketing Analyst;46-55;2;0.6%
Netherlands;Database Coordinator;26-35;2;0.6%
Netherlands;Database Manager;36-45;2;0.6%
Netherlands;Database Management System Specialist (DBMS Specialist);36-45;2;0.6%
Netherlands;Database Designer;46-55;2;0.6%
Netherlands;Engineer, System Electronic Data Processing (Engineer, System EDP);36-45;2;0.6%
Netherlands;Database Architect;46-55;1;0.3%
Netherlands;Director of Data Operations;19-25;1;0.3%
Netherlands;Database Designer;26-35;1;0.3%
Netherlands;Database Analyst;46-55;1;0.3%
Netherlands;Database Coordinator;36-45;1;0.3%
Netherlands;Database Consultant;19-25;1;0.3%
Netherlands;Database Consultant;36-45;1;0.3%
Netherlands;Database Consultant;56-65;1;0.3%
Netherlands;Electronic Data Processing Auditor (EDP Auditor);46-55;1;0.3%
Netherlands;Database Coordinator;46-55;1;0.3%
Netherlands;Electronic Data Processing Auditor (EDP Auditor);36-45;1;0.3%
Netherlands;Reference Data Expert;26-35;1;0.3%
Netherlands;Survey Data Technician;36-45;1;0.3%
Netherlands;SQL Database Administrator;26-35;1;0.3%
Netherlands;SCADA Technician (Supervisory Control and Data Acquisition Technician);46-55;1;0.3%
Netherlands;SCADA Operator (Supervisory Control and Data Acquisition Operator);36-45;1;0.3%
Netherlands;Oracle Database Administrator (Oracle DBA);56-65;1;0.3%
Netherlands;Oracle Database Administrator (Oracle DBA);36-45;1;0.3%
Netherlands;Oracle Database Administrator (Oracle DBA);26-35;1;0.3%
Netherlands;Micro Computer Data Processor;19-25;1;0.3%
Netherlands;LiDAR Data Analyst;46-55;1;0.3%
Netherlands;Internet Database Specialist;46-55;1;0.3%
Netherlands;Geographic Information Systems Data Specialist (GIS Data Specialist);46-55;1;0.3%
Netherlands;Database Development and Administration Project Manager;46-55;1;0.3%
Netherlands;Database Design Analyst;26-35;1;0.3%
Netherlands;Clinical Data Associate;36-45;1;0.3%
Netherlands;Database Tester;46-55;1;0.3%
Netherlands;Database Modeler;26-35;1;0.3%
Netherlands;Data Center Operator;26-35;1;0.3%
Netherlands;Data Analyst;36-45;1;0.3%
Netherlands;Data Analysis Assistant;56-65;1;0.3%
Netherlands;Data Administrator;46-55;1;0.3%
Netherlands;Data Administrator;36-45;1;0.3%
Netherlands;Data Administrator;26-35;1;0.3%
Netherlands;Computer or Data Processing Systems Consultant;36-45;1;0.3%
Netherlands;Computer or Data Processing Systems Consultant;26-35;1;0.3%
Netherlands;Clinical Data Manager;46-55;1;0.3%
Netherlands;Geographic Information Systems Data Administrator (GIS Data Administrator);36-45;1;0.3%
Netherlands;Business Database Analyst;36-45;1;0.3%
Netherlands;Automatic Data Processing Systems Security Specialist (ADP Systems Security);36-45;1;0.3%
Netherlands;Automatic Data Processing Planner;26-35;1;0.3%
Netherlands;Data Collection Technician;19-25;1;0.3%
Netherlands;Data Collector;26-35;1;0.3%
Netherlands;Data Communications Software Consultant;36-45;1;0.3%
Netherlands;Database Tester;26-35;1;0.3%
Netherlands;Database Specialist;36-45;1;0.3%
Netherlands;Database Specialist;19-25;1;0.3%
Netherlands;Database Software Technician;36-45;1;0.3%
Netherlands;Database Security Administrator;36-45;1;0.3%
Netherlands;Database Modeler;46-55;1;0.3%
Netherlands;Database Modeler;36-45;1;0.3%
Netherlands;Geographic Information Systems Data Manager (GIS Data Manager);26-35;1;0.3%
Netherlands;Data Management Information Technology Specialist;36-45;1;0.3%
Netherlands;GPS Field Data Collector (Global Positioning System Field Data Collector);36-45;1;0.3%
Netherlands;Data Processing Control Clerk;46-55;1;0.3%
Netherlands;Data Processing Equipment Repairer;36-45;1;0.3%
Netherlands;Data Processing Manager;36-45;1;0.3%
Netherlands;Data Warehousing Engineer;46-55;1;0.3%
Netherlands;Data Warehouse Specialist;46-55;1;0.3%
Netherlands;Data Warehouse Specialist;36-45;1;0.3%
Netherlands;Data Warehouse Analyst;46-55;1;0.3%
Netherlands;Data Technician;46-55;1;0.3%
Netherlands;Data Systems Manager;26-35;1;0.3%
Netherlands;Data Security Analyst;46-55;1;0.3%
Netherlands;Data Security Analyst;14-18;1;0.3%
Netherlands;Data Security Administrator;46-55;1;0.3%
Netherlands;Data Security Administrator;36-45;1;0.3%
Netherlands;Data Scientist;46-55;1;0.3%
Netherlands;Data Scientist;26-35;1;0.3%
Netherlands;Data Scientist;19-25;1;0.3%
Netherlands;Data Sciences Director;46-55;1;0.3%
Netherlands;Data Processing Systems Analyst;26-35;1;0.3%
Netherlands;Data Processing Services Sales Representative;19-25;1;0.3%
Netherlands;Data Processing Mechanic;36-45;1;0.3%
Netherlands;Data Processing Manager;56-65;1;0.3%
Netherlands;Data Processing Manager;46-55;1;0.3%
Netherlands;Data Processing Manager;26-35;1;0.3%
Netherlands;Weight in Motion Field Data Collection Technician;36-45;1;0.3%
Netherlands;Data Communications Analyst;26-35;1;0.3%
Netherlands;Data Compiler;36-45;1;0.3%
Netherlands;Field Artillery Automated Tactical Data System Specialist;46-55;1;0.3%
Netherlands;Data Control Assistant;26-35;1;0.3%
Netherlands;Field Artillery Automated Tactical Data System Specialist;36-45;1;0.3%
Netherlands;Engineer, System Electronic Data Processing (Engineer, System EDP);26-35;1;0.3%
Netherlands;Electronic Data Processing Auditor (EDP Auditor);56-65;1;0.3%
Netherlands;Database Administration Project Manager;36-45;1;0.3%
Netherlands;Database Administration Manager;56-65;1;0.3%
Netherlands;Database Administration Associate;36-45;1;0.3%
Netherlands;Data Warehousing Engineer;56-65;1;0.3%
Netherlands;Data Processing Auditor;36-45;1;0.3%
Netherlands;Data Modeling Specialist;36-45;1;0.3%
Netherlands;Data Modeling Specialist;26-35;1;0.3%
Netherlands;Data Miner;36-45;1;0.3%
Netherlands;Data Miner;26-35;1;0.3%
Netherlands;Data Manager;36-45;1;0.3%
Netherlands;Data Management Information Technology Specialist;56-65;1;0.3%
Netherlands;Data Management Associate;46-55;1;0.3%
Netherlands;Data Management Associate;19-25;1;0.3%
Netherlands;Data Examination Clerk;46-55;1;0.3%
Netherlands;Data Entry Supervisor;26-35;1;0.3%
Netherlands;Data Entry Associate;46-55;1;0.3%
Netherlands;Data Coordinator;26-35;1;0.3%
Netherlands;Data Control Clerk Supervisor;46-55;1;0.3%
Netherlands;Data Control Clerk Supervisor;26-35;1;0.3%
Netherlands;Data Control Assistant;56-65;1;0.3%
Netherlands;Data Center Operator;46-55;1;0.3%
