Country;Job Title;New age group;Quantity;Percentage
Spain;Unemployed;36-45;114;11.34%
Spain;Unemployed;19-25;94;9.35%
Spain;Unemployed;46-55;84;8.36%
Spain;Unemployed;26-35;75;7.46%
Spain;Unemployed;14-18;34;3.38%
Spain;Unemployed;56-65;22;2.19%
Spain;Data Warehouse Architect;36-45;8;0.8%
Spain;Database Development and Administration Project Manager;36-45;8;0.8%
Spain;Data Systems Manager;36-45;6;0.6%
Spain;Computer or Data Processing Systems Consultant;36-45;6;0.6%
Spain;Data Processing Systems Analyst;36-45;6;0.6%
Spain;Data Management Associate;36-45;6;0.6%
Spain;Database Coordinator;26-35;5;0.5%
Spain;Data Processing Systems Project Planner;36-45;5;0.5%
Spain;Data Processing Manager;36-45;5;0.5%
Spain;Database Engineer;26-35;5;0.5%
Spain;Database Management System Specialist (DBMS Specialist);36-45;5;0.5%
Spain;Database Manager;36-45;5;0.5%
Spain;Database Security Expert;36-45;5;0.5%
Spain;Geographic Information Systems Data Manager (GIS Data Manager);36-45;5;0.5%
Spain;Electronic Data Interchange System Developer (EDI System Developer);36-45;5;0.5%
Spain;Data Security Administrator;46-55;5;0.5%
Spain;Data Security Analyst;46-55;5;0.5%
Spain;Data Coordinator;36-45;5;0.5%
Spain;Data Warehouse Analyst;26-35;4;0.4%
Spain;Automatic Data Processing Planner (ADP Planner);46-55;4;0.4%
Spain;Database Architect;36-45;4;0.4%
Spain;Database Coordinator;36-45;4;0.4%
Spain;SQL Database Administrator;46-55;4;0.4%
Spain;Automatic Data Processing Systems Security Specialist (ADP Systems Security);46-55;4;0.4%
Spain;Data Communications Software Consultant;26-35;4;0.4%
Spain;Database Management System Specialist (DBMS Specialist);46-55;4;0.4%
Spain;Data Warehouse Analyst;36-45;4;0.4%
Spain;Data Modeling Specialist;46-55;4;0.4%
Spain;Director of Data Operations;26-35;4;0.4%
Spain;Geographic Information Systems Database Administrator (GIS Database Administrator);46-55;4;0.4%
Spain;Geographic Information Systems Database Administrator (GIS Database Administrator);36-45;4;0.4%
Spain;Database Software Technician;36-45;4;0.4%
Spain;Data Warehouse Specialist;26-35;4;0.4%
Spain;Data Base Design Analyst;36-45;3;0.3%
Spain;Automatic Data Processing Planner;46-55;3;0.3%
Spain;Automatic Data Processing Planner (ADP Planner);36-45;3;0.3%
Spain;Data Miner;36-45;3;0.3%
Spain;Data Modeling Specialist;36-45;3;0.3%
Spain;Data Processing Consultant;26-35;3;0.3%
Spain;Data Entry Machine Operator;36-45;3;0.3%
Spain;Data Architect;36-45;3;0.3%
Spain;Geographic Information Systems Data Administrator (GIS Data Administrator);36-45;3;0.3%
Spain;Data Communications Analyst;36-45;3;0.3%
Spain;Data Communications Software Consultant;46-55;3;0.3%
Spain;Geographic Information Systems Data Administrator (GIS Data Administrator);46-55;3;0.3%
Spain;Geographic Information Systems Data Manager (GIS Data Manager);26-35;3;0.3%
Spain;Head of Information Systems and Data Processing;36-45;3;0.3%
Spain;Oracle Database Administrator (Oracle DBA);36-45;3;0.3%
