Country;Job Title;New age group;Quantity;Percentage
Italy;Unemployed;36-45;381;3.95%
France;Unemployed;36-45;377;3.91%
Spain;Unemployed;36-45;359;3.72%
Germany;Unemployed;36-45;355;3.68%
Germany;Unemployed;26-35;340;3.52%
United Kingdom;Unemployed;36-45;337;3.49%
Germany;Unemployed;46-55;287;2.97%
United Kingdom;Unemployed;46-55;261;2.7%
France;Unemployed;46-55;251;2.6%
France;Unemployed;26-35;250;2.59%
Italy;Unemployed;26-35;246;2.55%
United Kingdom;Unemployed;26-35;246;2.55%
Poland;Unemployed;36-45;230;2.38%
Italy;Unemployed;46-55;229;2.37%
Poland;Unemployed;26-35;211;2.19%
Spain;Unemployed;46-55;204;2.11%
Germany;Unemployed;19-25;203;2.1%
Spain;Unemployed;26-35;199;2.06%
France;Unemployed;19-25;181;1.88%
Poland;Unemployed;19-25;142;1.47%
Poland;Unemployed;46-55;141;1.46%
Spain;Unemployed;19-25;132;1.37%
United Kingdom;Unemployed;19-25;127;1.32%
Germany;Unemployed;14-18;121;1.25%
Italy;Unemployed;19-25;121;1.25%
United Kingdom;Unemployed;56-65;118;1.22%
Romania;Unemployed;36-45;112;1.16%
France;Unemployed;56-65;99;1.03%
Netherlands;Unemployed;36-45;98;1.02%
United Kingdom;Unemployed;14-18;97;1.01%
Germany;Unemployed;56-65;91;0.94%
Netherlands;Unemployed;46-55;89;0.92%
Greece;Unemployed;36-45;80;0.83%
Poland;Unemployed;56-65;80;0.83%
Italy;Unemployed;14-18;74;0.77%
Romania;Unemployed;26-35;74;0.77%
France;Unemployed;14-18;72;0.75%
Czech Republic;Unemployed;36-45;70;0.73%
Italy;Unemployed;56-65;67;0.69%
Spain;Unemployed;56-65;65;0.67%
Portugal;Unemployed;36-45;65;0.67%
Belgium;Unemployed;36-45;60;0.62%
Romania;Unemployed;46-55;58;0.6%
Netherlands;Unemployed;26-35;56;0.58%
Sweden;Unemployed;36-45;56;0.58%
Hungary;Unemployed;26-35;49;0.51%
Portugal;Unemployed;46-55;49;0.51%
Hungary;Unemployed;36-45;48;0.5%
Bulgaria;Unemployed;36-45;48;0.5%
Greece;Unemployed;26-35;46;0.48%
Greece;Unemployed;46-55;46;0.48%
Austria;Unemployed;26-35;44;0.46%
Poland;Unemployed;14-18;43;0.45%
Romania;Unemployed;19-25;42;0.44%
Portugal;Unemployed;26-35;41;0.42%
Netherlands;Unemployed;19-25;40;0.41%
Czech Republic;Unemployed;26-35;39;0.4%
Hungary;Unemployed;46-55;38;0.39%
Spain;Unemployed;14-18;37;0.38%
Sweden;Unemployed;26-35;37;0.38%
Denmark;Unemployed;46-55;35;0.36%
Belgium;Unemployed;26-35;34;0.35%
Belgium;Unemployed;46-55;33;0.34%
Denmark;Unemployed;36-45;33;0.34%
Belgium;Unemployed;19-25;31;0.32%
Finland;Unemployed;36-45;31;0.32%
Czech Republic;Unemployed;46-55;31;0.32%
Hungary;Unemployed;19-25;30;0.31%
Bulgaria;Unemployed;26-35;30;0.31%
Greece;Unemployed;19-25;29;0.3%
Croatia;Unemployed;36-45;28;0.29%
Sweden;Unemployed;46-55;28;0.29%
Portugal;Unemployed;19-25;27;0.28%
Hungary;Unemployed;56-65;27;0.28%
Ireland;Unemployed;36-45;25;0.26%
Slovakia;Unemployed;36-45;25;0.26%
Croatia;Unemployed;26-35;24;0.25%
Czech Republic;Unemployed;19-25;24;0.25%
Ireland;Unemployed;26-35;24;0.25%
Finland;Unemployed;46-55;24;0.25%
Netherlands;Unemployed;56-65;24;0.25%
Netherlands;Unemployed;14-18;23;0.24%
Slovakia;Unemployed;26-35;23;0.24%
Austria;Unemployed;19-25;23;0.24%
Sweden;Unemployed;14-18;22;0.23%
Finland;Unemployed;26-35;22;0.23%
Austria;Unemployed;36-45;22;0.23%
Austria;Unemployed;46-55;21;0.22%
Romania;Unemployed;14-18;21;0.22%
Bulgaria;Unemployed;46-55;21;0.22%
Sweden;Unemployed;19-25;20;0.21%
Lithuania;Unemployed;36-45;19;0.2%
Bulgaria;Unemployed;19-25;19;0.2%
Slovakia;Unemployed;19-25;17;0.18%
Croatia;Unemployed;19-25;17;0.18%
Denmark;Unemployed;19-25;17;0.18%
Romania;Unemployed;56-65;16;0.17%
Denmark;Unemployed;26-35;16;0.17%
Bulgaria;Unemployed;56-65;15;0.16%
Czech Republic;Unemployed;56-65;15;0.16%
Austria;Unemployed;14-18;15;0.16%
Slovakia;Unemployed;46-55;14;0.15%
Finland;Unemployed;19-25;14;0.15%
Greece;Unemployed;14-18;14;0.15%
Ireland;Unemployed;56-65;12;0.12%
Finland;Unemployed;56-65;11;0.11%
Belgium;Unemployed;14-18;11;0.11%
Lithuania;Unemployed;19-25;10;0.1%
Hungary;Unemployed;14-18;10;0.1%
Finland;Unemployed;14-18;10;0.1%
Ireland;Unemployed;46-55;10;0.1%
Slovenia;Unemployed;36-45;10;0.1%
Denmark;Unemployed;56-65;10;0.1%
Ireland;Unemployed;14-18;10;0.1%
Latvia;Unemployed;26-35;9;0.09%
Portugal;Unemployed;56-65;9;0.09%
Sweden;Unemployed;56-65;9;0.09%
Czech Republic;Unemployed;14-18;8;0.08%
Lithuania;Unemployed;26-35;8;0.08%
Latvia;Unemployed;36-45;8;0.08%
Croatia;Unemployed;56-65;8;0.08%
Lithuania;Unemployed;46-55;8;0.08%
Slovakia;Unemployed;14-18;8;0.08%
Latvia;Unemployed;19-25;8;0.08%
Portugal;Unemployed;14-18;8;0.08%
Ireland;Unemployed;19-25;8;0.08%
Slovenia;Unemployed;26-35;8;0.08%
Denmark;Unemployed;14-18;7;0.07%
Latvia;Unemployed;46-55;7;0.07%
Croatia;Unemployed;46-55;7;0.07%
Estonia;Unemployed;26-35;7;0.07%
Belgium;Unemployed;56-65;7;0.07%
Greece;Unemployed;56-65;7;0.07%
Austria;Unemployed;56-65;7;0.07%
Slovenia;Unemployed;19-25;7;0.07%
Cyprus;Unemployed;36-45;6;0.06%
Poland;Data Architect;26-35;6;0.06%
Slovakia;Unemployed;56-65;5;0.05%
Italy;Data Architect;36-45;5;0.05%
Germany;Data Architect;36-45;5;0.05%
Bulgaria;Unemployed;14-18;5;0.05%
United Kingdom;Data Architect;46-55;4;0.04%
France;Data Architect;36-45;4;0.04%
France;Data Architect;26-35;4;0.04%
Italy;Data Architect;46-55;4;0.04%
Estonia;Unemployed;56-65;4;0.04%
Luxembourg;Unemployed;26-35;4;0.04%
France;Data Architect;46-55;3;0.03%
Cyprus;Unemployed;26-35;3;0.03%
Croatia;Unemployed;14-18;3;0.03%
Germany;Database Analyst;36-45;3;0.03%
Spain;Data Architect;36-45;3;0.03%
